# ESTATE residue ledger 2026-09-15T08:58:14Z - the whole repair surface at origin/HEAD, one row per defect.
# state: PENDING -> FIXED / SKIPPED-<reason>. The campaign is done when no row reads PENDING.
# SOLE-SOUND-COPY rows are DO-NOT-TOUCH, not PENDING: a checkout from HEAD destroys the only sound copy, silently.
repo	kind	path_or_count	detail	state
hyperpolymath/aerie	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/aerie	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/ambientops	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	collapsed-onto-one-line	PENDING
hyperpolymath/ambientops	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/bitfuckit	UNPINNED-REUSABLE	1	reusable uses: whose @ref is not a 40-hex sha	PENDING
hyperpolymath/bofig	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/branch-newspaper	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/branch-newspaper	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/docudactyl	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/dotmatrix-fileprinter	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/email-octad-experiment	UNSOUND-WORKFLOW	.github/workflows/dogfood-gate.yml	other	PENDING
hyperpolymath/email-octad-experiment	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	NOJOBS (parses, no jobs map)	PENDING
hyperpolymath/email-octad-experiment	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	other	PENDING
hyperpolymath/excel-economic-numbers-tool	UNSOUND-WORKFLOW	.github/workflows/workflow-linter.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/explore	UNSOUND-WORKFLOW	.github/workflows/lint.yml	other	PENDING
hyperpolymath/ffmpeg-ffi	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/ffmpeg-ffi	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/formatrix-docs	UNSOUND-WORKFLOW	.github/workflows/scorecard.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/formatrix-docs	SOLE-SOUND-COPY	1	worktree is the ONLY sound copy; a checkout from HEAD destroys it silently	DO-NOT-TOUCH
hyperpolymath/fraying-model-computational-testbed	UNSOUND-WORKFLOW	.github/workflows/e2e.yml	permissions-scalar-with-orphaned-mapping	PENDING
hyperpolymath/glyphbase	UNPINNED-REUSABLE	1	reusable uses: whose @ref is not a 40-hex sha	PENDING
hyperpolymath/gnpl	UNPINNED-REUSABLE	1	reusable uses: whose @ref is not a 40-hex sha	PENDING
